Pattern Type,Pattern Chance,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM
Random,,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150,97 - 150,97 - 150
Random,,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150,97 - 150
Random,,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150
Random,,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150
Random,,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82
Random,,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150,97 - 150,97 - 150
Random,,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150,97 - 150
Random,,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150
Random,,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150
Random,,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78
Random,,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150,97 - 150
Random,,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150
Random,,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150
Random,,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82
Random,,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150,97 - 150
Random,,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150
Random,,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150
Random,,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78
Random,,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150
Random,,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150
Random,,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82
Random,,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150
Random,,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150
Random,,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78
Random,,97 - 150,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,65 - 86,54 - 82,97 - 150
Random,,97 - 150,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,97 - 150,65 - 86,54 - 82
Random,,97 - 150,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150
Random,,97 - 150,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78
Random,,97 - 150,97 - 150,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,43 - 78,97 - 150,65 - 86,54 - 82
Random,,97 - 150,97 - 150,97 - 150,97 - 150,97 - 150,97 - 150,65 - 86,54 - 82,97 - 150,65 - 86,54 - 82,43 - 78
Random,,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152,98 - 152,98 - 152
Random,,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152,98 - 152
Random,,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152
Random,,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152
Random,,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83
Random,,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152,98 - 152,98 - 152
Random,,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152,98 - 152
Random,,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152
Random,,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152
Random,,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78
Random,,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152,98 - 152
Random,,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152
Random,,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152
Random,,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83
Random,,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152,98 - 152
Random,,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152
Random,,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152
Random,,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78
Random,,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152
Random,,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152
Random,,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83
Random,,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152
Random,,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152
Random,,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78
Random,,98 - 152,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,65 - 87,54 - 83,98 - 152
Random,,98 - 152,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,98 - 152,65 - 87,54 - 83
Random,,98 - 152,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152
Random,,98 - 152,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78
Random,,98 - 152,98 - 152,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,44 - 78,98 - 152,65 - 87,54 - 83
Random,,98 - 152,98 - 152,98 - 152,98 - 152,98 - 152,98 - 152,65 - 87,54 - 83,98 - 152,65 - 87,54 - 83,44 - 78
Small Profit,,97 - 150,97 - 150,149 - 149,150 - 150,149 - 149,43 - 97,38 - 94,33 - 90,27 - 87,22 - 84,17 - 81,11 - 78
Small Profit,,97 - 150,97 - 150,149 - 213,214 - 214,149 - 213,43 - 97,38 - 94,33 - 90,27 - 87,22 - 84,17 - 81,11 - 78
Small Profit,,98 - 152,98 - 152,151 - 151,152 - 152,151 - 151,44 - 98,38 - 94,33 - 91,27 - 88,22 - 85,17 - 82,11 - 78
Small Profit,,98 - 152,98 - 152,151 - 215,216 - 216,151 - 215,44 - 98,38 - 94,33 - 91,27 - 88,22 - 85,17 - 82,11 - 78
